trp_multiplayer_profile_troop_male|multiplayer profile troop male{***}
trp_multiplayer_profile_troop_male_pl|multiplayer profile troop male{***}
trp_multiplayer_profile_troop_female|multiplayer profile troop female{***}
trp_multiplayer_profile_troop_female_pl|multiplayer profile troop female{***}
trp_temp_troop|Temp Troop{***}
trp_temp_troop_pl|Temp Troop{***}
trp_find_item_cheat|find item cheat{***}
trp_find_item_cheat_pl|find item cheat{***}
trp_random_town_sequence|Random Town Sequence{***}
trp_random_town_sequence_pl|Random Town Sequence{***}
trp_tournament_participants|Tournament Participants{***}
trp_tournament_participants_pl|Tournament Participants{***}
trp_tutorial_maceman|Maceman{***}
trp_tutorial_maceman_pl|Maceman{***}
trp_tutorial_archer|Archer{***}
trp_tutorial_archer_pl|Archer{***}
trp_tutorial_swordsman|Swordsman{***}
trp_tutorial_swordsman_pl|Swordsman{***}
trp_novice_fighter|Novice Fighter{***}
trp_novice_fighter_pl|Novice Fighters{***}
trp_regular_fighter|Regular Fighter{***}
trp_regular_fighter_pl|Regular Fighters{***}
trp_veteran_fighter|Veteran Fighter{***}
trp_veteran_fighter_pl|Veteran Fighters{***}
trp_champion_fighter|Champion Fighter{***}
trp_champion_fighter_pl|Champion Fighters{***}
trp_arena_training_fighter_1|Novice Fighter{***}
trp_arena_training_fighter_1_pl|Novice Fighters{***}
trp_arena_training_fighter_2|Novice Fighter{***}
trp_arena_training_fighter_2_pl|Novice Fighters{***}
trp_arena_training_fighter_3|Regular Fighter{***}
trp_arena_training_fighter_3_pl|Regular Fighters{***}
trp_arena_training_fighter_4|Regular Fighter{***}
trp_arena_training_fighter_4_pl|Regular Fighters{***}
trp_arena_training_fighter_5|Regular Fighter{***}
trp_arena_training_fighter_5_pl|Regular Fighters{***}
trp_arena_training_fighter_6|Veteran Fighter{***}
trp_arena_training_fighter_6_pl|Veteran Fighters{***}
trp_arena_training_fighter_7|Veteran Fighter{***}
trp_arena_training_fighter_7_pl|Veteran Fighters{***}
trp_arena_training_fighter_8|Veteran Fighter{***}
trp_arena_training_fighter_8_pl|Veteran Fighters{***}
trp_arena_training_fighter_9|Champion Fighter{***}
trp_arena_training_fighter_9_pl|Champion Fighters{***}
trp_arena_training_fighter_10|Champion Fighter{***}
trp_arena_training_fighter_10_pl|Champion Fighters{***}
trp_cattle|Cattle{***}
trp_cattle_pl|Cattle{***}
trp_farmer|Farmer{***}
trp_farmer_pl|Farmers{***}
trp_townsman|Townsman{***}
trp_townsman_pl|Townsmen{***}
trp_watchman|Watchman{***}
trp_watchman_pl|Watchmen{***}
trp_caravan_guard|Merchant Guard{***}
trp_caravan_guard_pl|Merchant Guards{***}
trp_mercenary_swordsman|Mercenary Swordsman{***}
trp_mercenary_swordsman_pl|Mercenary Swordsmen{***}
trp_hired_blade|Hired Blade{***}
trp_hired_blade_pl|Hired Blades{***}
trp_mercenary_crossbowman|Mercenary Crossbowman{***}
trp_mercenary_crossbowman_pl|Mercenary Crossbowmen{***}
trp_mercenary_horseman|Mercenary Horseman{***}
trp_mercenary_horseman_pl|Mercenary Horsemen{***}
trp_mercenary_cavalry|Mercenary Cavalryman{***}
trp_mercenary_cavalry_pl|Mercenary Cavalry{***}
trp_mercanary_captain_tatars|English Mercenary Captain{***}
trp_mercanary_captain_tatars_pl|English Mercenary Captain{***}
trp_mercanary_captain_kozaks|Spanish Mercenary Captain{***}
trp_mercanary_captain_kozaks_pl|Spanish Mercenary Captain{***}
trp_mercanary_captain_polyak|French Mercenary Captain{***}
trp_mercanary_captain_polyak_pl|French Mercenary Captain{***}
trp_mercanary_captain_shved|Dutch Mercenary Captain{***}
trp_mercanary_captain_shved_pl|Dutch Mercenary Captain{***}
trp_mercanary_captain_moskov|Buccaneer Mercenary Captain{***}
trp_mercanary_captain_moskov_pl|Pirate Mercenary Captain{***}
trp_tatar_merch_novice_infantry|Mercenary Pikeneer{***}
trp_tatar_merch_novice_infantry_pl|Mercenary Pikeneers{***}
trp_tatar_merch_regular_infantry|Experienced Mercenary Pikeneer{***}
trp_tatar_merch_regular_infantry_pl|Experienced Mercenary Pikeneers{***}
